Unnamed: 0,PLZ,TUEREN,PREIS,MARKE,MODELL,REGDATE,KM_STAND,LEISTUNG_PS,FARBE,TREIBSTOFF,AUFBAU,GETRIEBE_TYP
10392,1752,5,24690,Opel,Corsa,2021,5'000 - 9'999,100,Sonstige,0,1,0
10393,1716,5,3600,Subaru,Impreza,2011,250'000 - 299'999,150,Schwarz,0,0,1
10394,1772,5,4500,Subaru,Legacy/Outback,2010,190'000 - 199'999,150,Blau,0,0,1
10395,3178,5,9900,Volkswagen,Golf,2011,190'000 - 199'999,210,Weiss,0,1,1
10396,1772,5,3000,Subaru,Impreza,2010,190'000 - 199'999,150,Grau,1,0,1
10398,1752,5,23500,Mazda,2,2022,5'000 - 9'999,90,Sonstige,0,1,0
10399,3175,5,2700,BMW,120,2005,300'000 - 349'999,120,Grau,1,1,1
10400,3178,5,28500,Porsche,Panamera,2012,120'000 - 129'999,299,Grau,0,1,0
10401,3175,2,37500,MG,TD,1952,55'000 - 59'999,55,Rot,0,4,1
10402,1752,5,27690,Opel,Astra,2020,10'000 - 14'999,145,Sonstige,0,0,0
10403,1721,3,2290,Ford,Ka,2008,85'000 - 89'999,60,Blau,0,1,1
10404,1716,5,6800,Mazda,3,2007,180'000 - 189'999,260,Schwarz,0,1,1
10405,1784,2,229990,Mercedes-Benz,GT,2020,10'000 - 14'999,584,Schwarz,0,4,0
10406,1712,5,34900,Volkswagen,Tiguan,2017,80'000 - 84'999,150,Weiss,1,3,0
